855.07,831.88
854.07,831.96
853.07,832.04
852.08,832.12
851.08,832.21
850.09,832.3
849.09,832.4
848.1,832.51
847.1,832.64
846.11,832.78
845.13,832.93
844.14,833.11
843.16,833.3
842.18,833.5
841.2,833.72
840.23,833.94
839.26,834.16
838.28,834.38
837.3,834.59
836.32,834.77
835.33,834.93
834.34,835.05
833.34,835.13
832.34,835.17
831.34,835.16
830.34,835.1
829.35,835
828.36,834.84
827.39,834.62
826.43,834.34
825.49,833.99
824.58,833.57
823.71,833.09
822.87,832.53
822.09,831.91
821.36,831.23
820.67,830.51
820.01,829.75
819.4,828.96
818.8,828.16
818.22,827.34
817.65,826.52
817.09,825.7
816.52,824.87
815.95,824.05
815.37,823.24
814.79,822.42
814.2,821.62
813.61,820.81
813.01,820.01
812.41,819.21
811.82,818.4
811.22,817.6
810.63,816.79
810.05,815.98
809.46,815.17
808.88,814.36
808.29,813.55
807.71,812.74
807.13,811.92
806.55,811.11
805.98,810.29
805.41,809.46
804.86,808.63
804.31,807.79
803.78,806.94
803.26,806.09
802.74,805.23
802.24,804.37
801.74,803.5
801.25,802.63
800.76,801.76
800.28,800.88
799.81,800
799.34,799.12
798.87,798.23
798.41,797.35
797.96,796.45
797.52,795.56
797.09,794.65
796.67,793.74
796.28,792.83
795.9,791.9
795.56,790.96
795.26,790.01
794.99,789.04
794.77,788.07
794.6,787.08
794.49,786.09
794.42,785.09
794.41,784.09
794.45,783.09
794.53,782.09
794.67,781.1
794.85,780.12
795.08,779.15
795.33,778.18
795.62,777.22
795.93,776.27
796.25,775.32
796.57,774.37
796.88,773.42
797.18,772.47
797.45,771.51
797.67,770.53
797.84,769.55
797.94,768.55
797.96,767.55
797.89,766.56
797.72,765.57
797.44,764.61
797.06,763.69
796.58,762.81
795.99,762
795.31,761.27
794.54,760.63
793.7,760.09
792.79,759.68
791.83,759.39
790.84,759.24
789.84,759.23
788.85,759.36
787.88,759.62
786.96,760
786.09,760.49
785.29,761.09
784.57,761.78
783.95,762.57
783.43,763.42
783.02,764.33
782.72,765.29
782.53,766.27
782.46,767.27
782.49,768.27
782.64,769.25
782.89,770.22
783.23,771.16
783.65,772.07
784.15,772.94
784.7,773.77
785.3,774.57
785.92,775.35
786.57,776.12
787.23,776.87
787.89,777.62
788.56,778.36
789.22,779.11
789.87,779.87
790.51,780.64
791.13,781.43
791.73,782.23
792.31,783.04
792.87,783.87
793.42,784.7
793.95,785.55
794.48,786.4
795,787.26
795.51,788.11
